Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.047332,6.6722E-08,0.43205,0,0,0,7.2595,0.2352,-3.3315E-09,-0.0013775,0.23491,1.1095E-10,0.18376,0,0,0,0,0,0,package://waiteronix/meshes/base_link.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://waiteronix/meshes/base_link.STL,,m3-Stracture-1,main coordinate system,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Body,0.030377,8.5895E-16,0.11943,0,0,0,5.7583,0.23029,-3.4648E-17,-0.0068726,0.17581,-2.2779E-17,0.35786,0,0,0,0,0,0,package://waiteronix/meshes/Body.STL,0.84706,0.84706,0.84706,1,0,0,0,0,0,0,package://waiteronix/meshes/Body.STL,,base-full-1,main coordinate system,,Body_Joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
Right_Wheel,2.5996E-07,0.037854,6.57E-06,0,0,0,1.21,0.0022228,-1.8762E-08,1.5736E-09,0.0036326,-4.7418E-07,0.0022228,0,0,0,0,0,0,package://waiteronix/meshes/Right_Wheel.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://waiteronix/meshes/Right_Wheel.STL,,wheel-1,right_wheelCoordinate System3,Axis1,Right_Wheel_Joint,continuous,-0.0087223,-0.224,0.054,0,0,0,base_link,0,-1,0,40,10,,,,,,,,,,
Left_Wheel,2.5996E-07,-0.037854,6.57E-06,0,0,0,1.21,0.0022228,1.8762E-08,1.5736E-09,0.0036326,4.7418E-07,0.0022228,0,0,0,0,0,0,package://waiteronix/meshes/Left_Wheel.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://waiteronix/meshes/Left_Wheel.STL,,wheel-3,left_wheelCoordinate System,Axis1,Left_Wheel_Joint,continuous,-0.0087223,0.224,0.054,0,0,0,base_link,0,-1,0,40,10,,,,,,,,,,
Camera,-0.027769,0.064365,-0.00028163,0,0,0,0.55893,0.0029329,-9.3578E-07,8.9611E-08,0.00023177,-9.4508E-09,0.0030272,0,0,0,0,0,0,package://waiteronix/meshes/Camera.STL,0.49412,0.49412,0.49412,1,0,0,0,0,0,0,package://waiteronix/meshes/Camera.STL,,original-1,camera Coordinate System4,Axis_Camera_Joint4,Camera_Joint,fixed,0.24478,-0.064307,0.0965,0,0,0,base_link,1,0,0,,,,,,,,,,,,
Lidar,8.3267E-17,-1.9976E-15,-0.013917,0,0,0,0.12331,8.5672E-05,-3.3087E-22,-3.3193E-19,8.5672E-05,-1.4388E-23,0.00010203,0,0,0,0,0,0,package://waiteronix/meshes/Lidar.STL,0,0.75294,0,1,0,0,0,0,0,0,package://waiteronix/meshes/Lidar.STL,,LIDA__10-1,Lidar Coordinate System5,Axis_Lidar_Joint4,Lidar_Joint,fixed,0.185,0,0.21663,0,0,0,base_link,0,0,1,,,,,,,,,,,,
IMU,-1.8518E-16,-6.2326E-15,-0.005,0,0,0,0.0007854,1.1454E-08,1.831E-25,-3.3736E-23,1.1454E-08,1.7323E-23,9.8175E-09,0,0,0,0,0,0,package://waiteronix/meshes/IMU.STL,0,0.75294,0,1,0,0,0,0,0,0,package://waiteronix/meshes/IMU.STL,,IMU-1,IMU Coordinate System6,Axis_IMU_Joint4,IMU_Joint,fixed,0,0,0.289,0,0,0,base_link,0,0,1,,,,,,,,,,,,
F_W_Front_Left,0.13868,0.123,-1.4438E-14,0,0,0,0.059636,1.6012E-05,-1.927E-20,-9.0002E-22,2.7287E-05,-2.1253E-20,1.6012E-05,0,0,0,0,0,0,package://waiteronix/meshes/F_W_Front_Left.STL,0.50196,0.50196,1,1,0,0,0,0,0,0,package://waiteronix/meshes/F_W_Front_Left.STL,,Free Wheel-5,main coordinate system,Axis_F_W_Front_Left_Joint4,F_W_Front_Left_Joint,fixed,0,0,0,0,0,0,base_link,0,1,0,,,,,,,,,,,,
F_W_Front_Right,0.13868,-0.123,2.4819E-14,0,0,0,0.059636,1.6012E-05,5.4827E-21,-3.2336E-22,2.7287E-05,-3.8765E-20,1.6012E-05,0,0,0,0,0,0,package://waiteronix/meshes/F_W_Front_Right.STL,0.50196,0.50196,1,1,0,0,0,0,0,0,package://waiteronix/meshes/F_W_Front_Right.STL,,Free Wheel-1,main coordinate system,Axis_F_W_Front_Right_Joint4,F_W_Front_Right_Joint,fixed,0,0,0,0,0,0,base_link,0,1,0,,,,,,,,,,,,
F_W_Back_Left,-0.19,0.1215,-1.622E-14,0,0,0,0.059636,1.6012E-05,2.3169E-21,-1.6362E-21,2.7287E-05,-4.46E-21,1.6012E-05,0,0,0,0,0,0,package://waiteronix/meshes/F_W_Back_Left.STL,0.50196,0.50196,1,1,0,0,0,0,0,0,package://waiteronix/meshes/F_W_Back_Left.STL,,Free Wheel-3,main coordinate system,Axis_F_W_Back_Left_Joint4,F_W_Back_Left_Joint,fixed,0,0,0,0,0,0,base_link,0,1,0,,,,,,,,,,,,
